province,code
Aceh (NAD),11
Bali,51
Banten,36
Bengkulu,17
DI Yogyakarta,34
DKI Jakarta,31
Gorontalo,75
Jambi,15
Jawa Barat,32
Jawa Tengah,33
Jawa Timur,35
Kalimantan Barat,61
Kalimantan Selatan,63
Kalimantan Tengah,62
Kalimantan Timur,64
Kalimantan Utara,65
Kepulauan Bangka Belitung,19
Kepulauan Riau,21
Lampung,18
Maluku,81
Maluku Utara,82
Nusa Tenggara Barat (NTB),52
Nusa Tenggara Timur (NTT),53
Papua,91
Papua Barat,92
Papua Pegunungan,95
Papua Selatan,93
Papua Tengah,94
Riau,14
Sulawesi Barat,76
Sulawesi Selatan,73
Sulawesi Tengah,72
Sulawesi Tenggara,74
Sulawesi Utara,71
Sumatera Barat,13
Sumatera Selatan,16
Sumatera Utara,12